City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Brookfield,Brookfield Police Dept,CT,14.0,16.0,13.0,19.0,19.0,7.0,11.0,4.0,8.0,10.0,7.0,6.0,15.0,10.0,10.0,5.0,10.0,14.0,26.0,18.0,2.0,10.0,3.0,6.0,5.0,5.0,10.0,2.0,9.0,3.0,,,3.0,6.0,5.0,5.0,10.0,2.0,9.0,3.0,6.0,10.0,,,,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,3.0
Canton,Canton Town Police Dept,CT,6.0,4.0,0.0,3.0,2.0,7.0,1.0,2.0,1.0,13.0,12.0,12.0,7.0,8.0,8.0,6.0,8.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,1.0,5.0,2.0,1.0,3.0,2.0,,4,3.0,3.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,-0.333333333333,,0.0,0.0,2.0
Cheshire,Cheshire Police Dept,CT,27.0,18.0,9.0,1.0,14.0,7.0,11.0,4.0,8.0,5.0,4.0,1.0,3.0,9.0,5.0,7.0,3.0,4.0,12.0,4.0,7.0,8.0,7.0,8.0,13.0,12.0,12.0,4.0,2.0,8.0,,8,9.0,7.0,13.0,12.0,12.0,4.0,2.0,6.0,9.0,4.0,0.0,0.0,8.0,2.0,0.285714285714,,-1.0,-0.125,,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,2.0,-2.0,-0.25,
Clinton,Clinton Police Dept,CT,2.0,12.0,10.0,4.0,7.0,4.0,0.0,5.0,9.0,11.0,4.0,10.0,22.0,18.0,15.0,12.0,11.0,5.0,15.0,18.0,22.0,18.0,15.0,17.0,18.0,17.0,19.0,27.0,21.0,18.0,,,15.0,17.0,16.0,17.0,19.0,27.0,21.0,18.0,18.0,20.0,,,,0.0,0.0,15.0,0.0,0.0,17.0,-2.0,-0.111111111111,,0.0,0.0,17.0,0.0,0.0,19.0,0.0,0.0,27.0,0.0,0.0,21.0,0.0,0.0,18.0
Coventry,Coventry Police Dept,CT,10.0,16.0,21.0,9.0,13.0,17.0,10.0,5.0,9.0,8.0,5.0,11.0,11.0,11.0,18.0,14.0,12.0,9.0,5.0,5.0,10.0,4.0,9.0,13.0,21.0,7.0,15.0,2.0,9.0,9.0,,,8.0,12.0,20.0,7.0,15.0,2.0,9.0,9.0,1.0,3.0,,,,-1.0,-0.111111111111,,-1.0,-0.0769230769231,,-1.0,-0.047619047619,,0.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,9.0
Cromwell,Cromwell Police Dept,CT,15.0,19.0,4.0,12.0,15.0,16.0,16.0,10.0,17.0,14.0,18.0,12.0,21.0,15.0,9.0,4.0,9.0,7.0,9.0,13.0,10.0,11.0,20.0,17.0,14.0,17.0,6.0,11.0,9.0,7.0,,,20.0,17.0,14.0,17.0,6.0,11.0,9.0,8.0,9.0,7.0,,,,0.0,0.0,20.0,0.0,0.0,17.0,0.0,0.0,14.0,0.0,0.0,17.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,9.0,1.0,0.142857142857,
Danbury,Danbury Police Dept,CT,96.0,90.0,98.0,98.0,116.0,162.0,208.0,203.0,172.0,219.0,152.0,132.0,98.0,128.0,112.0,133.0,143.0,153.0,118.0,147.0,128.0,132.0,146.0,109.0,130.0,116.0,164.0,109.0,108.0,150.0,,132,146.0,109.0,130.0,116.0,164.0,109.0,108.0,150.0,157.0,161.0,0.0,0.0,132.0,0.0,0.0,146.0,0.0,0.0,109.0,0.0,0.0,130.0,0.0,0.0,116.0,0.0,0.0,164.0,0.0,0.0,109.0,0.0,0.0,108.0,0.0,0.0,150.0
Darien,Darien Police Dept,CT,5.0,14.0,16.0,10.0,11.0,8.0,6.0,15.0,5.0,3.0,8.0,7.0,6.0,3.0,3.0,9.0,4.0,5.0,11.0,3.0,1.0,47.0,3.0,7.0,10.0,1.0,6.0,2.0,2.0,5.0,,47,3.0,7.0,14.0,1.0,6.0,2.0,2.0,5.0,3.0,1.0,0.0,0.0,47.0,0.0,0.0,3.0,0.0,0.0,7.0,4.0,0.4,,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0
Date of download: Sep 26 2017 ,Date of download: Sep 26 2017 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derby,Derby Police Dept,CT,21.0,19.0,14.0,20.0,28.0,37.0,19.0,20.0,23.0,18.0,60.0,33.0,22.0,29.0,20.0,42.0,24.0,14.0,9.0,24.0,3.0,18.0,24.0,22.0,25.0,36.0,22.0,28.0,20.0,24.0,,,24.0,21.0,26.0,36.0,22.0,28.0,22.0,24.0,31.0,39.0,,,,0.0,0.0,24.0,-1.0,-0.0454545454545,,1.0,0.04,,0.0,0.0,36.0,0.0,0.0,22.0,0.0,0.0,28.0,2.0,0.1,,0.0,0.0,24.0
