City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Norwalk,Norwalk Police Dept,CT,119.0,111.0,72.0,83.0,95.0,167.0,221.0,133.0,118.0,143.0,121.0,88.0,137.0,80.0,117.0,228.0,127.0,217.0,184.0,221.0,204.0,223.0,207.0,276.0,259.0,196.0,218.0,192.0,164.0,185.0,,,207.0,276.0,257.0,196.0,218.0,192.0,164.0,182.0,178.0,211.0,,,,0.0,0.0,207.0,0.0,0.0,276.0,-2.0,-0.00772200772201,,0.0,0.0,196.0,0.0,0.0,218.0,0.0,0.0,192.0,0.0,0.0,164.0,-3.0,-0.0162162162162,
Norwich,Norwich Police Dept,CT,54.0,76.0,78.0,67.0,117.0,90.0,112.0,86.0,96.0,115.0,121.0,97.0,89.0,82.0,87.0,88.0,69.0,71.0,,85.0,107.0,89.0,103.0,100.0,94.0,75.0,61.0,45.0,86.0,114.0,,89.0,103.0,100.0,94.0,75.0,61.0,45.0,86.0,114.0,86.0,84.0,0.0,0.0,89.0,0.0,0.0,103.0,0.0,0.0,100.0,0.0,0.0,94.0,0.0,0.0,75.0,0.0,0.0,61.0,0.0,0.0,45.0,0.0,0.0,86.0,0.0,0.0,114.0
Old Saybrook,Old Saybrook Police Dept,CT,7.0,19.0,,5.0,4.0,6.0,7.0,3.0,5.0,6.0,0.0,1.0,1.0,1.0,4.0,19.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,8.0,5.0,9.0,5.0,12.0,,0.0,1.0,3.0,4.0,,5.0,9.0,5.0,12.0,11.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,,,,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,12.0
Orange,Orange Police Dept,CT,38.0,27.0,33.0,8.0,11.0,11.0,3.0,7.0,2.0,4.0,9.0,6.0,4.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,2.0,1.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Plainfield,Plainfield Police Dept,CT,5.0,5.0,5.0,3.0,12.0,9.0,12.0,5.0,12.0,17.0,12.0,18.0,17.0,17.0,50.0,59.0,47.0,30.0,31.0,26.0,4.0,8.0,14.0,10.0,6.0,3.0,4.0,6.0,9.0,11.0,,6.0,14.0,10.0,5.0,3.0,4.0,6.0,10.0,11.0,7.0,3.0,-2.0,-0.25,,0.0,0.0,14.0,0.0,0.0,10.0,-1.0,-0.166666666667,,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.111111111111,,0.0,0.0,11.0
Plainville,Plainville Police Dept,CT,6.0,11.0,6.0,18.0,6.0,4.0,9.0,5.0,8.0,7.0,7.0,7.0,9.0,14.0,10.0,10.0,7.0,13.0,9.0,11.0,9.0,10.0,11.0,6.0,3.0,43.0,57.0,40.0,25.0,24.0,,10.0,11.0,6.0,3.0,43.0,57.0,40.0,25.0,24.0,27.0,21.0,0.0,0.0,10.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,43.0,0.0,0.0,57.0,0.0,0.0,40.0,0.0,0.0,25.0,0.0,0.0,24.0
Plymouth,Plymouth Police Dept,CT,7.0,9.0,6.0,5.0,6.0,5.0,1.0,3.0,5.0,16.0,24.0,5.0,2.0,4.0,2.0,0.0,8.0,12.0,8.0,5.0,16.0,12.0,6.0,4.0,3.0,7.0,1.0,4.0,6.0,3.0,,12.0,,7.0,3.0,7.0,1.0,4.0,6.0,3.0,6.0,1.0,0.0,0.0,12.0,,,,3.0,0.75,,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0
Ridgefield,Ridgefield Police Dept,CT,1.0,4.0,7.0,13.0,10.0,12.0,9.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0
Rocky Hill,Rocky Hill Police Dept,CT,7.0,18.0,8.0,5.0,5.0,11.0,10.0,9.0,9.0,3.0,5.0,1.0,2.0,9.0,14.0,13.0,5.0,10.0,19.0,44.0,,22.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,,,12.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,,,,11.0,11.0,,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0
Seymour,Seymour Police Dept,CT,15.0,5.0,28.0,37.0,45.0,60.0,20.0,8.0,26.0,19.0,24.0,27.0,22.0,22.0,32.0,33.0,21.0,24.0,32.0,26.0,33.0,21.0,36.0,18.0,7.0,14.0,9.0,6.0,6.0,4.0,,21.0,36.0,18.0,7.0,14.0,9.0,6.0,6.0,4.0,5.0,4.0,0.0,0.0,21.0,0.0,0.0,36.0,0.0,0.0,18.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,4.0
Shelton,Shelton Police Dept,CT,7.0,2.0,5.0,4.0,27.0,19.0,33.0,26.0,5.0,8.0,11.0,7.0,5.0,10.0,15.0,27.0,20.0,8.0,11.0,10.0,7.0,8.0,8.0,9.0,12.0,12.0,15.0,3.0,8.0,4.0,,7.0,8.0,9.0,11.0,12.0,15.0,3.0,8.0,4.0,10.0,9.0,-1.0,-0.125,,0.0,0.0,8.0,0.0,0.0,9.0,-1.0,-0.0833333333333,,0.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,4.0
Simsbury,Simsbury Police Dept,CT,14.0,21.0,20.0,1.0,2.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,16.0,5.0,1.0,2.0,2.0,7.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,,1.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,-1.0,-0.5,,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,-1.0,-0.25,
South Windsor,South Windsor Police Dept,CT,4.0,34.0,,22.0,9.0,7.0,9.0,6.0,10.0,5.0,11.0,10.0,13.0,8.0,9.0,17.0,16.0,14.0,8.0,9.0,6.0,6.0,12.0,4.0,4.0,2.0,5.0,4.0,3.0,1.0,,6.0,12.0,4.0,4.0,2.0,5.0,4.0,3.0,1.0,10.0,1.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0
Southington,Southington Police Dept,CT,44.0,31.0,37.0,44.0,24.0,42.0,,11.0,9.0,13.0,16.0,11.0,11.0,15.0,8.0,11.0,25.0,44.0,25.0,28.0,,8.0,19.0,6.0,8.0,9.0,6.0,11.0,7.0,8.0,,,19.0,5.0,8.0,9.0,6.0,11.0,7.0,7.0,8.0,6.0,,,,0.0,0.0,19.0,-1.0,-0.166666666667,,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,7.0,-1.0,-0.125,
Stamford,Stamford Police Dept,CT,205.0,429.0,232.0,302.0,279.0,244.0,235.0,223.0,237.0,267.0,262.0,205.0,245.0,208.0,194.0,155.0,116.0,117.0,123.0,153.0,179.0,167.0,175.0,186.0,167.0,178.0,161.0,176.0,146.0,139.0,,,171.0,186.0,169.0,178.0,161.0,176.0,145.0,137.0,171.0,201.0,,,,-4.0,-0.0228571428571,,0.0,0.0,186.0,2.0,0.0119760479042,,0.0,0.0,178.0,0.0,0.0,161.0,0.0,0.0,176.0,-1.0,-0.00684931506849,,-2.0,-0.0143884892086,
Stonington,Stonington Police Dept,CT,2.0,4.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,4.0,6.0,5.0,8.0,3.0,9.0,5.0,4.0,5.0,3.0,7.0,3.0,1.0,3.0,5.0,3.0,2.0,4.0,7.0,4.0,9.0,,1.0,3.0,5.0,3.0,2.0,4.0,7.0,4.0,9.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,9.0
Stratford,Stratford Police Dept,CT,108.0,76.0,44.0,22.0,30.0,24.0,18.0,35.0,20.0,18.0,38.0,19.0,24.0,17.0,26.0,43.0,41.0,40.0,31.0,49.0,54.0,35.0,55.0,82.0,77.0,89.0,77.0,61.0,25.0,12.0,,35.0,55.0,79.0,77.0,89.0,77.0,61.0,25.0,12.0,26.0,27.0,0.0,0.0,35.0,0.0,0.0,55.0,-3.0,-0.0365853658537,,0.0,0.0,77.0,0.0,0.0,89.0,0.0,0.0,77.0,0.0,0.0,61.0,0.0,0.0,25.0,0.0,0.0,12.0
