Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,City
Burglary,58.0,73.0,71.0,52.0,40.0,54.0,50.0,47.0,53.0,33.0,36.0,Farmington
Motor vehicle theft theft,44.0,21.0,33.0,28.0,24.0,7.0,30.0,20.0,10.0,24.0,21.0,Farmington
Larceny-theft,560.0,535.0,577.0,610.0,634.0,562.0,549.0,591.0,591.0,541.0,595.0,Farmington
Rape,3.0,0.0,0.0,5.0,6.0,0.0,2.0,3.0,6.0,3.0,4.0,Farmington
Property crime,662.0,629.0,681.0,690.0,698.0,623.0,629.0,658.0,654.0,598.0,652.0,Farmington
Arson,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,Glastonbury
Violent crime,16,23.0,21.0,23.0,29.0,21.0,22.0,17.0,10.0,16.0,,Glastonbury
Murder,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Glastonbury
Aggravated assault,8.0,17.0,13.0,11.0,17.0,14.0,10.0,12.0,4.0,8.0,,Glastonbury
Robbery,7.0,4.0,4.0,9.0,11.0,5.0,9.0,5.0,5.0,8.0,,Glastonbury
Burglary,77.0,81.0,73.0,84.0,85.0,73.0,55.0,66.0,80.0,34.0,,Glastonbury
Motor vehicle theft theft,7.0,20.0,6.0,8.0,6.0,12.0,13.0,7.0,7.0,12.0,,Glastonbury
Larceny-theft,315.0,303.0,229.0,263.0,258.0,238.0,258.0,201.0,210.0,300.0,,Glastonbury
Rape,1.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,,Glastonbury
Property crime,399.0,404.0,308.0,355.0,349.0,323.0,326.0,274.0,297.0,346.0,,Glastonbury
Arson,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Granby
Violent crime,3,9.0,6.0,3.0,4.0,9.0,2.0,5.0,3.0,2.0,2.0,Granby
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granby
Aggravated assault,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,Granby
Robbery,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Granby
Burglary,21.0,14.0,18.0,22.0,22.0,25.0,5.0,21.0,6.0,6.0,5.0,Granby
Motor vehicle theft theft,6.0,5.0,4.0,9.0,4.0,3.0,0.0,2.0,1.0,0.0,1.0,Granby
Larceny-theft,106.0,104.0,111.0,106.0,83.0,85.0,91.0,75.0,83.0,74.0,71.0,Granby
Rape,0.0,6.0,2.0,2.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,Granby
Property crime,133.0,123.0,133.0,137.0,109.0,113.0,96.0,98.0,90.0,80.0,77.0,Granby
Arson,3.0,2.0,0.0,5.0,4.0,1.0,4.0,3.0,0.0,1.0,1.0,Greenwich
Violent crime,25,25.0,15.0,23.0,22.0,27.0,23.0,12.0,18.0,11.0,14.0,Greenwich
Murder,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greenwich
Aggravated assault,12.0,19.0,6.0,13.0,12.0,10.0,15.0,4.0,11.0,3.0,7.0,Greenwich
Robbery,10.0,4.0,5.0,7.0,9.0,14.0,6.0,6.0,5.0,7.0,6.0,Greenwich
Burglary,58.0,71.0,83.0,72.0,94.0,79.0,45.0,77.0,76.0,64.0,50.0,Greenwich
Motor vehicle theft theft,28.0,25.0,36.0,38.0,38.0,18.0,22.0,42.0,29.0,34.0,48.0,Greenwich
Larceny-theft,428.0,350.0,362.0,404.0,421.0,326.0,301.0,340.0,364.0,305.0,305.0,Greenwich
Rape,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,Greenwich
Property crime,514.0,446.0,481.0,514.0,553.0,423.0,368.0,459.0,469.0,403.0,403.0,Greenwich
Arson,4.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,3.0,2.0,Groton
Violent crime,26,16.0,21.0,27.0,26.0,24.0,17.0,7.0,15.0,24.0,17.0,Groton
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton
Aggravated assault,13.0,9.0,15.0,17.0,16.0,15.0,10.0,7.0,10.0,12.0,12.0,Groton
Robbery,9.0,2.0,2.0,5.0,6.0,5.0,3.0,0.0,1.0,1.0,1.0,Groton
Burglary,41.0,30.0,45.0,27.0,27.0,13.0,8.0,6.0,9.0,9.0,29.0,Groton
Motor vehicle theft theft,10.0,10.0,5.0,6.0,6.0,5.0,10.0,4.0,12.0,11.0,16.0,Groton
Larceny-theft,196.0,151.0,139.0,138.0,124.0,122.0,139.0,124.0,136.0,140.0,162.0,Groton
Rape,4.0,5.0,4.0,5.0,4.0,4.0,4.0,0.0,4.0,11.0,4.0,Groton
Property crime,247.0,191.0,189.0,171.0,157.0,140.0,157.0,134.0,157.0,160.0,207.0,Groton
Arson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Long Point
Violent crime,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Long Point
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Long Point
Aggravated assault,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Long Point
Robbery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Long Point
Burglary,0.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,5.0,2.0,Groton Long Point
Motor vehicle theft theft,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Groton Long Point
Larceny-theft,4.0,8.0,5.0,5.0,6.0,12.0,9.0,3.0,0.0,6.0,2.0,Groton Long Point
Rape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Groton Long Point
Property crime,4.0,11.0,8.0,7.0,7.0,12.0,14.0,3.0,1.0,11.0,4.0,Groton Long Point
Arson,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Guilford
Violent crime,33,19.0,30.0,20.0,20.0,16.0,24.0,5.0,17.0,13.0,8.0,Guilford
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guilford
Aggravated assault,25.0,12.0,22.0,11.0,17.0,12.0,14.0,4.0,15.0,6.0,4.0,Guilford
Robbery,1.0,2.0,3.0,4.0,1.0,1.0,7.0,0.0,1.0,3.0,2.0,Guilford
Burglary,58.0,52.0,59.0,69.0,70.0,65.0,51.0,28.0,20.0,28.0,31.0,Guilford
Motor vehicle theft theft,16.0,15.0,14.0,15.0,13.0,10.0,7.0,7.0,7.0,1.0,7.0,Guilford
Larceny-theft,246.0,284.0,309.0,288.0,352.0,272.0,235.0,218.0,312.0,176.0,162.0,Guilford
Rape,7.0,5.0,5.0,5.0,2.0,3.0,3.0,,1.0,4.0,2.0,Guilford
Property crime,320.0,351.0,382.0,372.0,435.0,347.0,293.0,253.0,339.0,205.0,200.0,Guilford
Arson,5.0,4.0,2.0,2.0,,,2.0,1.0,0.0,3.0,1.0,Hamden
Violent crime,97,121.0,107.0,97.0,,,322.0,319.0,231.0,189.0,195.0,Hamden
Murder,1.0,1.0,0.0,0.0,,,2.0,0.0,1.0,3.0,1.0,Hamden
Aggravated assault,16.0,44.0,29.0,33.0,,,278.0,245.0,164.0,130.0,151.0,Hamden
Robbery,67.0,63.0,73.0,54.0,,,39.0,62.0,56.0,46.0,35.0,Hamden
Burglary,183.0,192.0,165.0,123.0,,,196.0,234.0,257.0,223.0,211.0,Hamden
Motor vehicle theft theft,173.0,137.0,120.0,98.0,,,97.0,77.0,77.0,87.0,132.0,Hamden
Larceny-theft,1371.0,1067.0,1192.0,941.0,,,1089.0,1047.0,1021.0,1022.0,1164.0,Hamden
Rape,13.0,13.0,5.0,10.0,,,3.0,12.0,10.0,10.0,8.0,Hamden
Property crime,1727.0,1396.0,1477.0,1162.0,,,1382.0,1358.0,1355.0,1332.0,1507.0,Hamden
Arson,87.0,107.0,97.0,84.0,95.0,91.0,88.0,45.0,45.0,55.0,112.0,Hartford
Violent crime,1590,1411.0,1503.0,1603.0,1624.0,1639.0,1655.0,1473.0,1380.0,1421.0,1353.0,Hartford
Murder,24.0,31.0,31.0,33.0,26.0,27.0,23.0,23.0,19.0,32.0,14.0,Hartford
Aggravated assault,761.0,680.0,782.0,921.0,982.0,955.0,965.0,840.0,814.0,835.0,798.0,Hartford
Robbery,758.0,642.0,629.0,600.0,570.0,602.0,640.0,557.0,502.0,510.0,476.0,Hartford
Burglary,1158.0,1168.0,1000.0,1135.0,1019.0,1271.0,1050.0,981.0,888.0,958.0,808.0,Hartford
Motor vehicle theft theft,1709.0,1601.0,1326.0,993.0,837.0,859.0,802.0,639.0,750.0,897.0,773.0,Hartford
Larceny-theft,5957.0,4437.0,4048.0,4061.0,3639.0,3372.0,3467.0,3416.0,3642.0,3613.0,3616.0,Hartford
Rape,47.0,58.0,61.0,49.0,46.0,55.0,27.0,,45.0,44.0,65.0,Hartford
Property crime,8824.0,7206.0,6374.0,6189.0,5495.0,5502.0,5319.0,5036.0,5280.0,5468.0,5197.0,Hartford
Arson,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Madison
Violent crime,8,10.0,5.0,6.0,18.0,5.0,2.0,2.0,2.0,0.0,1.0,Madison
Murder,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Madison
Aggravated assault,8.0,10.0,1.0,6.0,13.0,4.0,1.0,1.0,1.0,0.0,1.0,Madison
Robbery,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Madison
Burglary,34.0,34.0,53.0,46.0,58.0,26.0,25.0,16.0,11.0,9.0,17.0,Madison
Motor vehicle theft theft,2.0,10.0,9.0,2.0,3.0,1.0,2.0,0.0,11.0,0.0,9.0,Madison
Larceny-theft,137.0,130.0,156.0,131.0,150.0,96.0,89.0,96.0,97.0,49.0,57.0,Madison
Rape,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,Madison
Property crime,173.0,174.0,218.0,179.0,211.0,123.0,116.0,112.0,119.0,58.0,83.0,Madison
Arson,18.0,10.0,14.0,9.0,5.0,6.0,7.0,3.0,3.0,7.0,5.0,Manchester
Violent crime,151,111.0,140.0,137.0,131.0,128.0,111.0,101.0,111.0,104.0,107.0,Manchester
Murder,0.0,1.0,0.0,0.0,8.0,1.0,1.0,3.0,2.0,0.0,1.0,Manchester
Aggravated assault,84.0,58.0,104.0,70.0,76.0,65.0,52.0,32.0,53.0,49.0,53.0,Manchester
Robbery,58.0,46.0,30.0,55.0,36.0,53.0,46.0,50.0,45.0,37.0,39.0,Manchester
Burglary,276.0,218.0,268.0,297.0,253.0,256.0,288.0,221.0,189.0,151.0,152.0,Manchester
Motor vehicle theft theft,179.0,123.0,93.0,107.0,84.0,86.0,92.0,53.0,61.0,69.0,110.0,Manchester
Larceny-theft,1738.0,1637.0,1684.0,1636.0,1510.0,1380.0,1417.0,1231.0,1331.0,1354.0,1297.0,Manchester
Rape,9.0,6.0,6.0,12.0,11.0,9.0,12.0,,11.0,18.0,14.0,Manchester
Property crime,2193.0,1978.0,2045.0,2040.0,1847.0,1722.0,1797.0,1505.0,1581.0,1574.0,1559.0,Manchester
Arson,28.0,9.0,4.0,8.0,6.0,5.0,9.0,5.0,6.0,8.0,9.0,Meriden
Violent crime,222,173.0,172.0,176.0,144.0,144.0,222.0,175.0,181.0,197.0,227.0,Meriden
Murder,3.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,Meriden
Aggravated assault,73.0,61.0,88.0,73.0,68.0,78.0,116.0,71.0,96.0,76.0,129.0,Meriden
Robbery,135.0,106.0,72.0,88.0,70.0,57.0,76.0,85.0,68.0,90.0,68.0,Meriden
Burglary,433.0,459.0,409.0,393.0,416.0,444.0,421.0,385.0,306.0,321.0,292.0,Meriden
Motor vehicle theft theft,215.0,186.0,161.0,125.0,132.0,141.0,168.0,146.0,150.0,127.0,161.0,Meriden
Larceny-theft,1463.0,1448.0,1473.0,1574.0,1289.0,1136.0,1223.0,972.0,958.0,992.0,914.0,Meriden
Rape,11.0,6.0,10.0,12.0,6.0,9.0,25.0,,17.0,30.0,28.0,Meriden
Property crime,2111.0,2093.0,2043.0,2092.0,1837.0,1721.0,1812.0,1503.0,1414.0,1440.0,1367.0,Meriden
Arson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middlebury
Violent crime,1,2.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,Middlebury
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middlebury
Aggravated assault,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,Middlebury
Robbery,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,Middlebury
Burglary,11.0,12.0,12.0,6.0,25.0,21.0,20.0,10.0,9.0,12.0,17.0,Middlebury
Motor vehicle theft theft,4.0,1.0,4.0,5.0,2.0,3.0,5.0,5.0,2.0,5.0,8.0,Middlebury
Larceny-theft,55.0,56.0,47.0,42.0,70.0,60.0,45.0,53.0,45.0,44.0,36.0,Middlebury
Rape,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,Middlebury
Property crime,70.0,69.0,63.0,53.0,97.0,84.0,70.0,68.0,56.0,61.0,61.0,Middlebury
Arson,0.0,0.0,4.0,4.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,Middletown
Violent crime,60,48.0,78.0,60.0,59.0,77.0,72.0,60.0,78.0,64.0,70.0,Middletown
Murder,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Middletown
Aggravated assault,31.0,23.0,21.0,27.0,35.0,37.0,45.0,26.0,51.0,37.0,42.0,Middletown
Robbery,25.0,25.0,52.0,32.0,20.0,30.0,25.0,22.0,23.0,19.0,23.0,Middletown
Burglary,222.0,179.0,220.0,214.0,157.0,143.0,156.0,87.0,96.0,89.0,109.0,Middletown
Motor vehicle theft theft,149.0,122.0,95.0,92.0,59.0,60.0,83.0,74.0,64.0,58.0,87.0,Middletown
Larceny-theft,1101.0,966.0,1329.0,1186.0,914.0,820.0,661.0,666.0,699.0,579.0,731.0,Middletown
Rape,3.0,0.0,4.0,0.0,4.0,10.0,1.0,12.0,4.0,7.0,5.0,Middletown
Property crime,1472.0,1267.0,1644.0,1492.0,1130.0,1023.0,900.0,827.0,859.0,726.0,927.0,Middletown
Arson,5.0,6.0,4.0,1.0,4.0,4.0,4.0,0.0,8.0,5.0,2.0,Milford
Violent crime,80,91.0,68.0,83.0,55.0,35.0,46.0,42.0,35.0,37.0,34.0,Milford
Murder,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,Milford
Aggravated assault,48.0,46.0,34.0,45.0,32.0,11.0,11.0,18.0,12.0,10.0,7.0,Milford
Robbery,19.0,41.0,28.0,31.0,19.0,23.0,33.0,23.0,21.0,26.0,27.0,Milford
Burglary,218.0,214.0,152.0,163.0,183.0,158.0,150.0,148.0,146.0,127.0,126.0,Milford
Motor vehicle theft theft,136.0,98.0,83.0,96.0,80.0,80.0,65.0,105.0,62.0,65.0,88.0,Milford
Larceny-theft,1421.0,1588.0,1753.0,1598.0,1365.0,1515.0,1371.0,1302.0,1179.0,1156.0,1001.0,Milford
Rape,12.0,4.0,6.0,6.0,3.0,0.0,2.0,,0.0,1.0,0.0,Milford
Property crime,1775.0,1900.0,1988.0,1857.0,1628.0,1753.0,1586.0,1555.0,1387.0,1348.0,1215.0,Milford
Arson,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,Monroe
Violent crime,8,6.0,17.0,7.0,4.0,6.0,3.0,1.0,3.0,3.0,2.0,Monroe
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monroe
Aggravated assault,6.0,2.0,13.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,Monroe
Robbery,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,Monroe
Burglary,32.0,36.0,42.0,47.0,34.0,37.0,41.0,25.0,37.0,24.0,16.0,Monroe
Motor vehicle theft theft,14.0,29.0,7.0,7.0,6.0,6.0,3.0,9.0,9.0,6.0,3.0,Monroe
Larceny-theft,108.0,125.0,135.0,109.0,92.0,138.0,115.0,123.0,111.0,83.0,63.0,Monroe
Rape,1.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,Monroe
Property crime,154.0,190.0,184.0,163.0,132.0,181.0,159.0,157.0,157.0,113.0,82.0,Monroe
Arson,,4.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,Naugatuck
Violent crime,,21.0,33.0,30.0,30.0,31.0,30.0,33.0,27.0,34.0,37.0,Naugatuck
Murder,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Naugatuck
Aggravated assault,,13.0,13.0,9.0,12.0,9.0,12.0,10.0,13.0,10.0,16.0,Naugatuck
Robbery,,5.0,9.0,11.0,9.0,11.0,11.0,13.0,10.0,13.0,13.0,Naugatuck
Burglary,,80.0,74.0,69.0,75.0,71.0,92.0,200.0,77.0,61.0,86.0,Naugatuck
Motor vehicle theft theft,,50.0,37.0,29.0,45.0,37.0,42.0,60.0,33.0,25.0,46.0,Naugatuck
Larceny-theft,,491.0,494.0,463.0,503.0,498.0,498.0,507.0,507.0,466.0,413.0,Naugatuck
Rape,,2.0,10.0,9.0,9.0,11.0,7.0,10.0,4.0,11.0,8.0,Naugatuck
Property crime,,621.0,605.0,561.0,623.0,606.0,632.0,767.0,617.0,552.0,545.0,Naugatuck
Arson,1.0,2.0,3.0,1.0,2.0,0.0,0.0,7.0,4.0,,2.0,New Britain
Violent crime,333,324.0,278.0,294.0,308.0,328.0,317.0,264.0,321.0,275.0,216.0,New Britain
Murder,4.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,9.0,1.0,New Britain
Aggravated assault,125.0,117.0,120.0,133.0,143.0,178.0,130.0,133.0,151.0,108.0,95.0,New Britain
Robbery,194.0,200.0,146.0,154.0,157.0,143.0,179.0,110.0,110.0,114.0,73.0,New Britain
Burglary,761.0,809.0,788.0,812.0,762.0,881.0,775.0,610.0,553.0,439.0,401.0,New Britain
Motor vehicle theft theft,390.0,570.0,630.0,387.0,404.0,318.0,393.0,236.0,204.0,290.0,463.0,New Britain
Larceny-theft,2119.0,2266.0,2096.0,2076.0,1886.0,1768.0,1749.0,1415.0,1361.0,1362.0,1257.0,New Britain
Rape,10.0,6.0,11.0,6.0,6.0,4.0,5.0,,55.0,44.0,47.0,New Britain
Property crime,3270.0,3645.0,3514.0,3275.0,3052.0,2967.0,2917.0,2261.0,2118.0,2091.0,2121.0,New Britain
Arson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Canaan
Violent crime,3,3.0,4.0,3.0,1.0,4.0,6.0,4.0,1.0,2.0,3.0,New Canaan
Murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,New Canaan
Aggravated assault,2.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,New Canaan
Robbery,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,New Canaan
Burglary,35.0,29.0,15.0,16.0,32.0,14.0,14.0,12.0,29.0,19.0,24.0,New Canaan
Motor vehicle theft theft,7.0,3.0,3.0,15.0,2.0,0.0,2.0,5.0,1.0,1.0,5.0,New Canaan
Larceny-theft,147.0,150.0,132.0,121.0,100.0,93.0,114.0,106.0,100.0,124.0,102.0,New Canaan
Rape,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,New Canaan
Property crime,189.0,182.0,150.0,152.0,134.0,107.0,130.0,123.0,130.0,144.0,131.0,New Canaan
Arson,2.0,3.0,2.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,1.0,Newington
Violent crime,24,21.0,24.0,27.0,32.0,26.0,28.0,23.0,23.0,37.0,22.0,Newington
Murder,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Newington
Aggravated assault,0.0,0.0,3.0,2.0,10.0,11.0,5.0,8.0,4.0,2.0,7.0,Newington
Robbery,13.0,15.0,15.0,16.0,17.0,12.0,14.0,9.0,14.0,23.0,10.0,Newington
Burglary,217.0,333.0,88.0,127.0,104.0,104.0,99.0,78.0,125.0,125.0,60.0,Newington
Motor vehicle theft theft,74.0,73.0,65.0,45.0,42.0,46.0,49.0,34.0,48.0,59.0,59.0,Newington
Larceny-theft,643.0,640.0,694.0,676.0,668.0,603.0,636.0,613.0,574.0,669.0,671.0,Newington
Rape,11.0,6.0,5.0,8.0,5.0,3.0,8.0,,5.0,12.0,5.0,Newington
Property crime,934.0,1046.0,847.0,848.0,814.0,753.0,784.0,725.0,747.0,853.0,790.0,Newington
Arson,2.0,2.0,0.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,4.0,New Milford
Violent crime,21,21.0,12.0,18.0,18.0,18.0,21.0,27.0,17.0,20.0,29.0,New Milford
Murder,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,New Milford
Aggravated assault,13.0,13.0,7.0,8.0,14.0,10.0,11.0,17.0,8.0,12.0,18.0,New Milford
Robbery,3.0,4.0,1.0,6.0,1.0,5.0,1.0,5.0,7.0,4.0,2.0,New Milford
Burglary,45.0,69.0,73.0,64.0,18.0,8.0,4.0,9.0,6.0,2.0,3.0,New Milford
Motor vehicle theft theft,17.0,22.0,21.0,17.0,13.0,13.0,24.0,13.0,13.0,10.0,13.0,New Milford
Larceny-theft,175.0,218.0,212.0,263.0,325.0,453.0,335.0,286.0,307.0,340.0,256.0,New Milford
Rape,4.0,3.0,4.0,3.0,3.0,3.0,9.0,5.0,2.0,4.0,8.0,New Milford
Property crime,237.0,309.0,306.0,344.0,356.0,474.0,363.0,308.0,326.0,352.0,272.0,New Milford
Arson,,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,Newtown
Violent crime,,7.0,2.0,8.0,16.0,13.0,7.0,2.0,11.0,12.0,3.0,Newtown
Murder,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Newtown
Aggravated assault,,3.0,0.0,6.0,10.0,4.0,2.0,0.0,5.0,6.0,2.0,Newtown
Robbery,,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,Newtown
Burglary,,32.0,41.0,42.0,48.0,54.0,32.0,23.0,65.0,35.0,20.0,Newtown
Motor vehicle theft theft,,3.0,5.0,5.0,2.0,5.0,2.0,4.0,6.0,7.0,5.0,Newtown
Larceny-theft,,126.0,202.0,135.0,154.0,130.0,151.0,96.0,101.0,108.0,58.0,Newtown
Rape,,4.0,1.0,1.0,3.0,6.0,5.0,2.0,5.0,5.0,0.0,Newtown
Property crime,,161.0,248.0,182.0,204.0,189.0,185.0,123.0,172.0,150.0,83.0,Newtown
Arson,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,North Branford
Violent crime,18,14.0,14.0,5.0,8.0,1.0,5.0,5.0,3.0,4.0,6.0,North Branford
Murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,North Branford
Aggravated assault,15.0,14.0,9.0,3.0,7.0,0.0,2.0,3.0,1.0,0.0,2.0,North Branford
Robbery,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,North Branford
Burglary,31.0,37.0,37.0,46.0,48.0,33.0,34.0,14.0,26.0,31.0,19.0,North Branford
Motor vehicle theft theft,10.0,2.0,13.0,18.0,23.0,24.0,7.0,12.0,14.0,9.0,9.0,North Branford
Larceny-theft,161.0,161.0,164.0,183.0,206.0,190.0,160.0,144.0,151.0,141.0,97.0,North Branford
Rape,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,North Branford
Property crime,202.0,200.0,214.0,247.0,277.0,247.0,201.0,170.0,191.0,181.0,125.0,North Branford
Arson,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,North Haven
Violent crime,,30.0,13.0,12.0,17.0,11.0,12.0,22.0,20.0,8.0,22.0,North Haven
Murder,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,North Haven
Aggravated assault,,7.0,4.0,2.0,7.0,5.0,1.0,4.0,9.0,4.0,14.0,North Haven
Robbery,,22.0,9.0,9.0,8.0,6.0,11.0,14.0,8.0,4.0,6.0,North Haven
Burglary,,85.0,88.0,93.0,74.0,88.0,63.0,50.0,74.0,53.0,100.0,North Haven
Motor vehicle theft theft,,38.0,42.0,26.0,16.0,28.0,37.0,33.0,33.0,65.0,49.0,North Haven
Larceny-theft,,470.0,483.0,408.0,493.0,483.0,478.0,387.0,449.0,452.0,433.0,North Haven
Rape,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,North Haven
Property crime,,593.0,613.0,527.0,583.0,599.0,578.0,470.0,556.0,570.0,582.0,North Haven
Arson,,8.0,4.0,8.0,12.0,4.0,4.0,3.0,2.0,5.0,8.0,Norwalk
Violent crime,,343.0,415.0,425.0,343.0,326.0,272.0,239.0,258.0,239.0,295.0,Norwalk
Murder,,3.0,2.0,1.0,6.0,3.0,3.0,0.0,3.0,0.0,1.0,Norwalk
Aggravated assault,,207.0,276.0,257.0,196.0,218.0,192.0,164.0,182.0,178.0,211.0,Norwalk
Robbery,,120.0,125.0,157.0,129.0,90.0,68.0,61.0,64.0,41.0,65.0,Norwalk
Burglary,,284.0,284.0,314.0,323.0,297.0,250.0,245.0,219.0,202.0,239.0,Norwalk
Motor vehicle theft theft,,210.0,205.0,203.0,176.0,174.0,111.0,106.0,93.0,118.0,154.0,Norwalk
Larceny-theft,,1378.0,1426.0,1269.0,1379.0,1443.0,1352.0,1377.0,1285.0,1307.0,1034.0,Norwalk
Rape,,13.0,12.0,10.0,12.0,15.0,9.0,14.0,9.0,20.0,18.0,Norwalk
Property crime,,1872.0,1915.0,1786.0,1878.0,1914.0,1713.0,1728.0,1597.0,1627.0,1427.0,Norwalk
Arson,5.0,15.0,19.0,6.0,19.0,16.0,15.0,7.0,6.0,6.0,7.0,Norwich
Violent crime,181,170.0,178.0,165.0,144.0,133.0,99.0,130.0,153.0,127.0,121.0,Norwich
Murder,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,Norwich
Aggravated assault,89.0,103.0,100.0,94.0,75.0,61.0,45.0,86.0,114.0,86.0,84.0,Norwich
Robbery,68.0,47.0,49.0,44.0,46.0,45.0,35.0,29.0,23.0,28.0,21.0,Norwich
Burglary,178.0,242.0,272.0,215.0,266.0,235.0,274.0,306.0,210.0,154.0,152.0,Norwich
Motor vehicle theft theft,87.0,85.0,62.0,67.0,49.0,51.0,50.0,52.0,50.0,39.0,50.0,Norwich
Larceny-theft,754.0,626.0,610.0,797.0,656.0,570.0,639.0,644.0,588.0,432.0,419.0,Norwich
Rape,23.0,20.0,28.0,25.0,21.0,25.0,18.0,,16.0,11.0,15.0,Norwich
