City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Danbury,Danbury Police Dept,CT,17.0,13.0,17.0,15.0,20.0,14.0,20.0,12.0,12.0,9.0,10.0,6.0,6.0,16.0,6.0,10.0,10.0,23.0,16.0,19.0,22.0,11.0,20.0,15.0,25.0,21.0,34.0,23.0,25.0,,,11.0,20.0,15.0,25.0,21.0,34.0,23.0,,31.0,45.0,30.0,0.0,0.0,11.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,25.0,0.0,0.0,21.0,0.0,0.0,34.0,0.0,0.0,23.0,,,,,,
Darien,Darien Police Dept,CT,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,,
Derby,Derby Police Dept,CT,4.0,1.0,2.0,1.0,4.0,3.0,3.0,0.0,2.0,1.0,23.0,8.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,5.0,1.0,2.0,2.0,7.0,3.0,2.0,1.0,8.0,,,,,2.0,6.0,4.0,2.0,1.0,8.0,2.0,3.0,4.0,6.0,,,,0.0,0.0,2.0,-1.0,-0.142857142857,,1.0,0.333333333333,,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,,,,,,
East Hampton,East Hampton Police Dept,CT,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,,,,,
East Hartford,East Hartford Police,CT,18.0,13.0,,10.0,15.0,16.0,10.0,14.0,12.0,13.0,12.0,5.0,7.0,8.0,5.0,23.0,19.0,12.0,24.0,33.0,20.0,27.0,17.0,23.0,14.0,21.0,22.0,26.0,,,,27.0,15.0,22.0,13.0,20.0,22.0,26.0,31.0,24.0,24.0,26.0,0.0,0.0,27.0,-2.0,-0.117647058824,,-1.0,-0.0434782608696,,-1.0,-0.0714285714286,,-1.0,-0.047619047619,,0.0,0.0,22.0,0.0,0.0,26.0,,,,,,
East Haven,East Haven Police Dept,CT,2.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,7.0,11.0,7.0,0.0,0.0,1.0,6.0,4.0,3.0,3.0,0.0,6.0,,,,1.0,6.0,4.0,3.0,3.0,0.0,6.0,3.0,8.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,6.0,,,,,,
East Windsor,East Windsor Police Dept,CT,2.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,10.0,5.0,6.0,2.0,8.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,7.0,,,,3.0,4.0,3.0,2.0,2.0,3.0,7.0,3.0,5.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.5,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,,,,,,
Enfield,Enfield Police Dept,CT,6.0,6.0,1.0,4.0,4.0,6.0,5.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,2.0,5.0,4.0,7.0,8.0,7.0,0.0,0.0,0.0,,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-0.875,,-7.0,-1.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,-1.0,-1.0,,,,
Fairfield,Fairfield Police Dept,CT,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,3.0,4.0,3.0,6.0,1.0,1.0,3.0,5.0,7.0,4.0,3.0,2.0,5.0,2.0,3.0,1.0,2.0,,,,8.0,9.0,0.0,0.0,,,0.0,,1.0,10.0,7.0,5.0,1.66666666667,,7.0,3.5,,-5.0,-1.0,,-2.0,-1.0,,,,,,,,-2.0,-1.0,,,,,,,
Farmington,Farmington Police Dept,CT,1.0,1.0,0.0,2.0,2.0,6.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,7.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,0.0,0.0,6.0,6.0,0.0,2.0,,,,3.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,3.0,0.0,0.0,3.0,2.0,inf,,5.0,inf,,-4.0,-0.666666666667,,-4.0,-0.666666666667,,1.0,inf,,0.0,0.0,2.0,,,,,,
